year,country,cpi,inflation,gdp,ctry_temp ,prec,glob_temp,CO2
1961,brn,0,0,0,30.55,2682.3,0.06,
1962,brn,0,0,0,30.2,3502.8,0.03,
1963,brn,0,0,0,30.11,3156.73,0.05,
1964,brn,0,0,0,30.36,2827.25,0.2,
1965,brn,0,0,1059,30.3,3476.85,0.11,
1966,brn,0,0,1179.05,30.67,3351.18,0.06,
1967,brn,0,0,1181.94,30.47,3146.21,0.02,
1968,brn,0,0,1309.98,30.48,2821.93,0.08,
1969,brn,0,0,1259.34,30.55,2935.61,0.05,
1970,brn,0,0,1342.99,30.43,3022.58,0.03,
1971,brn,0,0,1424.47,30.57,3093.26,0.08,
1972,brn,0,0,1882.2,31.08,2631.2,0.01,
1973,brn,0,0,2905.41,31.01,3318.45,0.16,
1974,brn,0,0,6957.19,30.6,3341.83,0.07,
1975,brn,0,0,7317.77,30.69,3112.37,0.01,
1976,brn,0,0,8621.12,30.28,2848.76,0.1,
1977,brn,49.4,0,10159.01,30.3,3276.9,0.18,
1978,brn,0,0,11020.68,30.61,2405.38,0.07,
1979,brn,0,0,15409.83,30.72,3282.93,0.16,
1980,brn,58.39,0,26228.08,30.79,3335.36,0.26,
1981,brn,63.72,9.14,22494.86,30.99,3587,0.32,
1982,brn,67.77,6.36,21254.06,31.06,2778.48,0.14,
1983,brn,68.56,1.17,18526.29,31.22,3037.34,0.31,
1984,brn,70.67,3.07,17619.33,30.41,3751.04,0.16,
1985,brn,72.34,2.35,15863.26,30.73,3059.5,0.12,
1986,brn,73.62,1.78,10262.93,30.68,3164.55,0.18,
1987,brn,74.54,1.25,11587.49,30.96,2623.65,0.32,
1988,brn,75.43,1.19,10949.8,30.67,3901.72,0.39,
1989,brn,76.41,1.3,11762.35,30.62,2882.44,0.27,
1990,brn,78.05,2.14,13440.67,30.98,2556.29,0.45,12.45
1991,brn,79.3,1.6,13717.39,30.83,2581.59,0.4,12.54
1992,brn,80.31,1.28,15080.72,30.88,2456.84,0.22,12.92
1993,brn,83.73,4.25,14420.59,30.75,2642.56,0.23,13.8
1994,brn,85.79,2.46,14000.45,30.82,2777.29,0.31,14.61
1995,brn,90.91,5.97,15827.99,30.7,3306.6,0.45,15.38
1996,brn,92.72,2,16706.47,30.63,3512.46,0.33,15.77
1997,brn,94.31,1.71,16593.43,31.02,2745.73,0.46,16.68
1998,brn,93.89,0.44,12653.81,31.27,2794.69,0.61,14.11
1999,brn,93.5,0.42,14065.7,30.87,3854.86,0.38,13.55
2000,brn,94.96,1.56,17971.89,30.96,3632.07,0.39,14.13
2001,brn,95.53,0.6,16437.42,31.07,3409.16,0.53,13.82
2002,brn,93.31,2.31,16817.24,31.22,2743.31,0.63,13.3
2003,brn,93.59,0.3,18521.37,30.96,3070.88,0.62,15.58
2004,brn,94.36,0.81,21839.26,30.92,2768.12,0.53,14.16
2005,brn,95.53,1.24,25991.21,31.08,3234.08,0.68,13.61
2006,brn,95.68,0.16,30767.75,31.02,3528.55,0.64,20.17
2007,brn,96.61,0.97,32337.27,30.85,3585.94,0.66,18.86
2008,brn,98.62,2.08,37427.54,30.63,4027.02,0.54,20.58
2009,brn,99.64,1.04,27497.55,31.06,3635.22,0.66,20.17
2010,brn,100,0.36,34609.71,30.97,3872.29,0.72,18.11
2011,brn,100.14,0.14,46139.11,30.92,3821.04,0.61,18.26
2012,brn,100.25,0.11,46844.2,31.25,3356.61,0.65,17.95
2013,brn,100.64,0.39,43950.05,31.29,3472.45,0.68,17.51
2014,brn,100.43,0.21,41035.78,31.1,3203.68,0.74,16.99
2015,brn,99.94,0.49,30681.43,31.36,2862.4,0.9,15.18
2016,brn,99.66,0.28,26762.04,31.65,2552.39,1.02,16.36
2017,brn,98.41,1.26,28186.99,31.3,3853.43,0.92,16.94
2018,brn,99.42,1.03,31240.5,31.47,3621.08,0.85,17.36
2019,brn,99.03,0.39,30748.31,31.6,2971.42,0.98,16.11
2020,brn,100.95,1.94,27179.35,31.49,3655.16,1.01,21.71
2021,brn,102.7,1.73,31448.91,31.42,3622.15,0.85,
2022,brn,106.48,3.68,37152.48,31.22,4029.16,0.89,
1961,cam,0,0,113.49,31.42,2195.56,0.06,
1962,cam,0,0,114.01,31.45,2050.69,0.03,
1963,cam,0,0,123.2,31.47,1864.6,0.05,
1964,cam,0,0,129.59,31.3,1918.36,0.2,
1965,cam,0,0,140.76,31.37,1665.29,0.11,
1966,cam,0,0,145.14,31.69,2098.97,0.06,
1967,cam,0,0,149.83,31.1,1642.41,0.02,
1968,cam,0,0,162.63,31.53,1689.28,0.08,
1969,cam,0,0,146.54,31.61,1762.96,0.05,
1970,cam,0,0,107.09,31.31,1817.62,0.03,
1971,cam,0,0,144.84,30.83,1721.39,0.08,
1972,cam,0,0,74.72,31.44,2145.02,0.01,
1973,cam,0,0,102.58,31.58,1447.98,0.16,
1974,cam,0,0,85.12,31.02,2138.48,0.07,
1975,cam,0,0,0,31.07,1867.25,0.01,
1976,cam,0,0,0,31.18,1825.54,0.1,
1977,cam,0,0,0,31.69,1584.16,0.18,
1978,cam,0,0,0,31.6,2050.77,0.07,
1979,cam,0,0,0,32.15,1835.41,0.16,
1980,cam,0,0,0,31.66,1866.91,0.26,
1981,cam,0,0,0,30.96,1769.84,0.32,
1982,cam,0,0,0,31.09,1887.63,0.14,
1983,cam,0,0,0,31.41,1843.61,0.31,
1984,cam,0,0,0,31.1,2037.49,0.16,
1985,cam,0,0,0,31.12,1836.98,0.12,
1986,cam,0,0,0,31.15,2003.85,0.18,
1987,cam,0,0,0,32.03,1767.14,0.32,
1988,cam,0,0,0,31.71,1772.55,0.39,
1989,cam,0,0,0,31.84,1717.64,0.27,
1990,cam,0,0,0,32.15,1965.36,0.45,0.14
1991,cam,0,0,0,32.16,1754.49,0.4,0.14
1992,cam,0,0,0,31.95,1591.63,0.22,0.14
1993,cam,0,0,247.35,31.91,1364.86,0.23,0.14
1994,cam,44.87,0,262.44,31.94,2023.51,0.31,0.13
1995,cam,44.51,0.8,315.14,31.92,1658.42,0.45,0.13
1996,cam,47.69,7.15,313.58,31.43,2001.46,0.33,0.14
1997,cam,51.49,7.96,301.22,32.12,1850.1,0.46,0.14
1998,cam,59.11,14.81,267.41,32.69,1703.49,0.61,0.16
1999,cam,61.48,4.01,295.59,31.24,2101.29,0.38,0.16
2000,cam,61,0.79,301.52,31.58,2010.1,0.39,0.16
2001,cam,60.63,0.6,322.9,31.78,2140.84,0.53,0.17
2002,cam,60.76,0.21,341.04,31.98,1999.03,0.63,0.18
2003,cam,61.33,0.94,364.28,32.04,1728.87,0.62,0.19
2004,cam,63.98,4.32,410.09,31.95,1737.54,0.53,0.18
2005,cam,68.21,6.62,475.07,31.78,1813.5,0.68,0.2
2006,cam,72.17,5.81,539.75,31.89,2115.55,0.64,0.22
2007,cam,78.46,8.71,629.92,31.71,2090.33,0.66,0.27
2008,cam,97.37,24.1,742.4,31.26,1780.29,0.54,0.29
2009,cam,96.16,1.24,734.82,31.78,1852.78,0.66,0.34
2010,cam,100,4,782.7,32.26,1569.24,0.72,0.36
2011,cam,105.48,5.48,880.31,31.23,2173.05,0.61,0.37
2012,cam,108.57,2.93,950.48,32.09,1859.71,0.65,0.38
2013,cam,111.77,2.94,1015.22,31.66,1962.46,0.68,0.38
2014,cam,116.08,3.86,1098.07,31.93,1807.16,0.74,0.46
2015,cam,117.5,1.22,1170.74,32.35,1457.79,0.9,0.55
2016,cam,121.04,3.02,1281.11,32.41,1647.03,1.02,0.71
2017,cam,124.57,2.91,1400.9,31.75,2011.63,0.92,0.8
2018,cam,127.63,2.46,1533.32,31.79,1790.62,0.85,0.85
2019,cam,130.11,1.94,1671.39,32.59,1805.67,0.98,1.12
2020,cam,133.94,2.94,1577.91,32.34,1721.41,1.01,1.14
2021,cam,137.85,2.92,1625.24,31.86,2037.94,0.85,
2022,cam,145.22,5.34,1759.61,31.55,2255.27,0.89,
1961,ind,0,13.69,0,30.1,2478.44,0.06,
1962,ind,0,131.4,0,29.95,2939.19,0.03,
1963,ind,0,145.91,0,30.1,2413.88,0.05,
1964,ind,0,108.99,0,30.05,2940.43,0.2,
1965,ind,0.02,306.76,0,30.08,2395.9,0.11,
1966,ind,0.19,1136.25,0,30.2,2756.03,0.06,
1967,ind,0.39,106,53.34,30.05,2486.93,0.02,
1968,ind,0.89,128.84,64.84,30.11,2832.99,0.08,
1969,ind,1.03,15.48,74.34,30.34,2654.68,0.05,
1970,Ind,1.16,12.4,79.41,30.27,2965.82,0.03,
1971,ind,1.2,4.23,78.87,30.04,2899.9,0.08,
1972,ind,1.28,6.52,90.51,30.44,2237.01,0.01,
1973,ind,1.68,31.04,130.49,30.45,3083.36,0.16,
1974,ind,2.36,40.49,201.67,30.19,2727.83,0.07,
1975,ind,2.81,19.17,232.17,30.23,3028.87,0.01,
1976,ind,3.37,19.83,277.05,30.11,2518.23,0.1,
1977,ind,3.74,11.05,332.28,30.15,2712.81,0.18,
1978,ind,4.05,8.11,364.29,30.19,2926.81,0.07,
1979,ind,4.71,16.23,355.24,30.36,2627.04,0.16,
1980,ind,5.55,18.04,489.16,30.34,2701,0.26,
1981,ind,6.24,12.27,563.78,30.39,2852.42,0.32,
1982,ind,6.82,9.45,580.81,30.46,2272.71,0.14,
1983,ind,7.63,11.8,510.43,30.52,2711.33,0.31,
1984,ind,8.43,10.46,522.72,29.97,3030.69,0.16,
1985,ind,8.83,4.72,514.44,30.25,2792.49,0.12,
1986,ind,9.34,5.82,472.72,30.3,2800.37,0.18,
1987,ind,10.21,9.28,440.37,30.52,2503.03,0.32,
1988,ind,11.03,8.05,479.81,30.33,2938.02,0.39,
1989,ind,11.74,6.42,527.81,30.22,2864.98,0.27,
1990,ind,12.65,7.82,582.68,30.54,2597.99,0.45,0.81
1991,ind,13.84,9.42,629.16,30.45,2457.19,0.4,0.88
1992,ind,14.89,7.52,678.98,30.43,2663.14,0.22,0.91
1993,ind,16.33,9.67,824.08,30.36,2571.08,0.23,0.97
1994,ind,17.72,8.53,907.47,30.38,2532.01,0.31,1.02
1995,ind,19.39,9.42,1020.15,30.38,2926.12,0.45,1.13
1996,ind,20.93,7.97,1129.09,30.41,2827.06,0.33,1.18
1997,ind,22.24,6.23,1054.35,30.57,2265.26,0.46,1.28
1998,ind,35.23,58.45,459.19,30.78,2867.93,0.61,1.26
1999,ind,42.45,20.48,663.52,30.39,2907.99,0.38,1.32
2000,ind,44.02,3.69,770.87,30.46,2925.48,0.39,1.31
2001,ind,49.08,11.5,739,30.51,2864.07,0.53,1.39
2002,ind,54.92,11.9,888.9,30.71,2584.74,0.63,1.39
2003,ind,58.63,6.76,1052.41,30.53,2876.96,0.62,1.5
2004,ind,62.18,6.06,1136.76,30.56,2627.12,0.53,1.51
2005,ind,68.68,10.45,1249.4,30.53,2731.2,0.68,1.5
2006,ind,77.69,13.11,1572.8,30.44,2641.45,0.64,1.57
2007,ind,82.67,6.41,1840.33,30.35,2855.85,0.66,1.62
2008,ind,91.12,10.23,2144.39,30.25,2997.08,0.54,1.58
2009,ind,95.12,4.39,2239.1,30.52,2761.9,0.66,1.62
2010,ind,100,5.13,3094.44,30.56,3275.81,0.72,1.7
2011,ind,105.36,5.36,3613.8,30.38,2898.47,0.61,1.93
2012,ind,109.86,4.28,3668.21,30.53,2853.46,0.65,1.93
2013,ind,116.91,6.41,3602.89,30.59,2897.18,0.68,1.77
2014,ind,124.39,6.39,3476.62,30.59,2590.38,0.74,1.89
2015,ind,132.3,6.36,3322.58,30.68,2471.77,0.9,1.89
2016,ind,136.97,3.53,3558.82,30.72,2945.2,1.02,1.85
2017,ind,142.18,3.81,3839.79,30.58,3014.67,0.92,1.95
2018,ind,146.73,3.2,3902.66,30.68,2811.7,0.85,2.13
2019,ind,151.18,3.03,4151.23,30.81,2500.53,0.98,2.25
2020,ind,154.08,1.92,3895.62,30.78,2982.69,1.01,2.07
2021,ind,156.48,1.56,4334.22,30.61,3074.24,0.85,
2022,ind,163.07,4.21,4788,30.56,3148.52,0.89,
1961,lao,0,0,0,28.71,2038.64,0.06,
1962,lao,0,0,0,28.6,1754.21,0.03,
1963,lao,0,0,0,28.67,1938.06,0.05,
1964,lao,0,0,0,28.45,1957.65,0.2,
1965,lao,0,0,0,28.73,1703.69,0.11,
1966,lao,0,0,0,29.08,1933.85,0.06,
1967,lao,0,0,0,28.26,1635.22,0.02,
1968,lao,0,0,0,28.71,1671.9,0.08,
1969,lao,0,0,0,28.94,1703.4,0.05,
1970,lao,0,0,0,28.43,1956.4,0.03,
1971,lao,0,0,0,27.87,1949.1,0.08,
1972,lao,0,0,0,28.55,1899.44,0.01,
1973,lao,0,0,0,28.78,1637.36,0.16,
1974,lao,0,0,0,28.2,1960.64,0.07,
1975,lao,0,0,0,28.44,1955.96,0.01,
1976,lao,0,0,0,28.31,1743.48,0.1,
1977,lao,0,0,0,28.48,1631.84,0.18,
1978,lao,0,0,0,28.66,2042.67,0.07,
1979,lao,0,0,0,29.43,1563.56,0.16,
1980,lao,0,0,0,29.18,1872.82,0.26,
1981,lao,0,0,0,28.27,1893.44,0.32,
1982,lao,0,0,0,28.35,1774.92,0.14,
1983,lao,0,0,0,28.74,1776.08,0.31,
1984,lao,0,0,482.74,28.39,1915.37,0.16,
1985,lao,0,0,632.53,28.25,1778.83,0.12,
1986,lao,0,0,461.71,28.46,1989.15,0.18,
1987,lao,0,0,274.58,29.22,1644.01,0.32,
1988,lao,1.68,0,146.99,28.86,1706.42,0.39,
1989,lao,2.71,61.33,170.27,28.95,1666.42,0.27,
1990,lao,3.67,35.64,200.62,29.02,2045.83,0.45,0.12
1991,lao,4.16,13.44,231.7,29.3,1682.84,0.4,0.12
1992,lao,4.57,9.86,247.27,28.94,1704.4,0.22,0.13
1993,lao,4.86,6.27,283.39,29.05,1401.34,0.23,0.13
1994,lao,5.19,6.78,321.05,29.02,1956.02,0.31,0.13
1995,lao,6.21,19.59,357.9,28.87,1804.43,0.45,0.14
1996,lao,7.02,13.02,371.47,28.41,1991.5,0.33,0.15
1997,lao,8.95,27.51,339.19,29.08,1759.69,0.46,0.16
1998,lao,17.09,90.98,243.99,29.97,1655.74,0.61,0.16
1999,lao,38.49,125.27,272.36,28.47,2034.64,0.38,0.16
2000,lao,48.14,25.08,318.77,28.66,1854.56,0.39,0.17
2001,lao,51.91,7.81,320.42,28.76,2091.3,0.53,0.18
2002,lao,57.42,10.63,313.62,28.86,2145.69,0.63,0.2
2003,lao,66.32,15.49,355.65,28.97,1628.67,0.62,0.2
2004,lao,73.26,10.46,410.25,28.85,1762.78,0.53,0.21
2005,lao,78.51,7.17,467.38,29.06,1911.04,0.68,0.21
2006,lao,83.64,6.55,581.01,29.12,1915.64,0.64,0.28
2007,lao,87.54,4.66,699.04,28.82,1857.64,0.66,0.29
2008,lao,94.22,7.63,887.64,28.2,2129.78,0.54,0.33
2009,lao,94.36,0.14,936.79,29.09,1667.68,0.66,0.41
2010,lao,100,5.98,1127.84,29.66,1777.61,0.72,0.45
2011,lao,107.57,7.57,1363.73,28.03,2192.03,0.61,0.47
2012,lao,112.15,4.26,1566.01,29.39,1867.34,0.65,0.5
2013,lao,119.29,6.37,1815.44,28.92,2066.34,0.68,0.63
2014,lao,124.22,4.13,1984.51,29.22,1555.54,0.74,0.65
2015,lao,125.8,1.28,2125.46,29.59,1567.26,0.9,1.31
2016,lao,127.81,1.6,2309.05,29.47,1902.65,1.02,2.28
2017,lao,128.87,0.83,2439.46,28.76,2070.77,0.92,2.72
2018,lao,131.5,2.04,2553.36,28.78,1888.32,0.85,2.77
2019,lao,135.87,3.32,2598.51,29.98,1459.63,0.98,2.66
2020,lao,142.8,5.1,2593.36,29.61,1548.98,1.01,2.62
2021,lao,148.16,3.76,2535.62,29.07,1739.64,0.85,
2022,lao,182.18,22.96,2054.43,28.69,2037.69,0.89,
1961,mys ,21.27,0.18,235.53,29.88,2739.01,0.06,
1962,mys ,21.29,0.11,240.44,29.62,3062.08,0.03,
1963,mys ,21.96,3.11,292.58,29.67,2771.73,0.05,
1964,mys ,21.87,0.4,302.68,29.76,2806.84,0.2,
1965,mys ,21.84,0.11,325.19,29.74,2920.87,0.11,
1966,mys ,22.06,0.97,336.56,30,3218.23,0.06,
1967,mys ,23.06,4.58,332.8,29.76,2993.13,0.02,
1968,mys ,23.03,0.16,339.1,29.91,2749.58,0.08,
1969,mys ,22.93,0.41,364.21,30.02,2884.7,0.05,
1970,mys ,23.36,1.84,374.92,29.89,2985.88,0.03,
1971,mys ,23.73,1.61,402.21,29.8,2956.4,0.08,
1972,mys ,24.5,3.23,466.91,30.32,2455.75,0.01,
1973,mys ,27.09,10.56,692.68,30.2,3098.56,0.16,
1974,mys ,31.78,17.33,837.76,29.87,2774.08,0.07,
1975,mys ,33.21,4.49,800.38,29.87,3019.6,0.01,
1976,mys ,34.08,2.63,927.81,29.74,2612.08,0.1,
1977,mys ,35.71,4.79,1075.34,29.88,2830.42,0.18,
1978,mys ,37.45,4.86,1304.07,30.11,2539.96,0.07,
1979,mys ,38.82,3.65,1647.63,30.23,2759.42,0.16,
1980,mys ,41.41,6.67,1852.96,30.19,3018.79,0.26,
1981,mys ,45.43,9.7,1843.35,30.33,2884.86,0.32,
1982,mys ,48.07,5.82,1925.47,30.35,2545.27,0.14,
1983,mys ,49.85,3.7,2123.26,30.56,2652.28,0.31,
1984,mys ,51.79,3.9,2311.17,29.75,3307.62,0.16,
1985,mys ,51.97,0.35,2065.09,30.1,2820.43,0.12,
1986,mys ,52.36,0.74,1782.54,30.13,2752.49,0.18,
1987,mys ,52.51,0.29,2007.17,30.45,2632.75,0.32,
1988,mys ,53.85,2.56,2134.52,30.15,3272.94,0.39,
1989,mys ,55.36,2.81,2282.47,30.09,2702.63,0.27,
1990,mys ,56.81,2.62,2513.24,30.5,2408.61,0.45,3.12
1991,mys ,59.29,4.36,2727.53,30.35,2650.87,0.4,3.61
1992,mys ,62.12,4.77,3193.64,30.36,2442.92,0.22,3.63
1993,mys ,64.31,3.54,3511.53,30.21,2801.28,0.23,3.83
1994,mys ,66.71,3.72,3802.11,30.28,2960.31,0.31,4.07
1995,mys ,69.01,3.45,4405.12,30.19,3189.97,0.45,4.29
1996,mys ,71.42,3.49,4874.82,30.14,3171.09,0.33,4.77
1997,mys ,73.32,2.66,4706.31,30.54,2498.77,0.46,4.99
1998,mys ,77.18,5.27,3308.84,30.83,2638.66,0.61,4.85
1999,mys ,79.3,2.74,3538.36,30.21,3403.99,0.38,5.12
2000,mys ,80.52,1.53,4087.56,30.39,3259.78,0.39,5.42
2001,mys ,81.66,1.42,3941.12,30.52,2965.96,0.53,5.5
2002,mys ,83.14,1.81,4177.1,30.78,2617.4,0.63,5.65
2003,mys ,84.04,1.09,4454.53,30.47,3103.65,0.62,5.82
2004,mys ,85.24,1.42,4924.34,30.46,2779.24,0.53,6.23
2005,mys ,87.77,2.98,5536.84,30.5,2779.18,0.68,6.44
2006,mys ,90.94,3.61,6137.15,30.37,3108.32,0.64,6.55
2007,mys ,92.78,2.03,7144,30.22,3240.14,0.66,6.99
2008,mys ,97.83,5.44,8343.3,30.03,3568.67,0.54,7.32
2009,mys ,98.4,0.58,7167.88,30.39,3395.93,0.66,6.43
2010,mys ,100,1.62,8880.15,30.5,3091.64,0.72,6.96
2011,mys ,103.17,3.17,10209.37,30.26,3435.63,0.61,6.94
2012,mys ,104.89,1.66,10601.51,30.55,3213.04,0.65,6.93
2013,mys ,107.1,2.11,10727.67,30.59,3085.4,0.68,7.4
2014,mys ,110.46,3.14,11045.58,30.56,2801.23,0.74,7.72
2015,mys ,112.79,2.1,9699.6,30.75,2653.04,0.9,7.6
2016,mys ,115.15,2.09,9555.67,31,2829.87,1.02,7.35
2017,mys ,119.61,3.87,9979.7,30.64,3324.94,0.92,7.04
2018,mys ,120.66,0.88,11073.98,30.85,3245.4,0.85,7.45
2019,mys ,121.46,0.66,11132.1,31.11,2589.86,0.98,7.46
2020,mys ,120.08,1.14,10164.34,30.99,3042.18,1.01,7.38
2021,mys ,123.05,2.48,11134.62,30.78,3287.92,0.85,
2022,mys ,127.21,3.38,11993.19,30.68,3484.51,0.89,
1961,myn,0.16,0.15,27.27,28.75,2355.71,1.17,
1962,myn,0.15,1.61,27.95,28.92,1858.8,0.03,
